model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,True,True,0.9887499549982,0.9891886202317702,0.9887499549982,0.9887444427608508,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
KNN,True,False,0.9923400019984481,0.9924530706293618,0.9923400019984481,0.9923394795298227,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
KNN,False,True,0.9257099992851492,0.9351659156821807,0.9257099992851492,0.9252990205118695,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
KNN,False,False,0.9996000019999,0.9996003460325986,0.9996000019999,0.9996000019082825,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Random Forest,True,True,1.0,1.0,1.0,1.0,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Random Forest,True,False,0.999479999899897,0.9994805116808849,0.999479999899897,0.9994799997476974,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Random Forest,False,True,0.9682200010936332,0.9701325371314046,0.9682200010936332,0.9681871024605743,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
GaussianNB,True,True,0.99974999899996,0.9997500151938415,0.99974999899996,0.9997499989984932,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
GaussianNB,True,False,0.986680013497201,0.9866935077052202,0.986680013497201,0.9866799231770848,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
GaussianNB,False,True,0.9927100053984881,0.99280600253084,0.9927100053984881,0.9927095946718936,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
GaussianNB,False,False,0.991700011198228,0.9917835639293804,0.991700011198228,0.9916995918453974,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Mutilayer Perceptron,True,True,0.993109944899173,0.9932825403925377,0.993109944899173,0.9931085860054981,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Mutilayer Perceptron,True,False,0.963019715995444,0.968367808889974,0.963019715995444,0.9627068187174231,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Mutilayer Perceptron,False,True,0.9573400881905861,0.9600053291142004,0.9573400881905861,0.9572666925464581,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Mutilayer Perceptron,False,False,0.9997899981999759,0.9997902385098699,0.9997899981999759,0.9997899981243646,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
AdaBoost,True,True,0.999859998599986,0.9998601161001118,0.999859998599986,0.9998599985735254,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
AdaBoost,True,False,0.961969625696137,0.966913006490263,0.961969625696137,0.9617183881498274,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
AdaBoost,False,True,0.9613400357919101,0.9618869183715043,0.9613400357919101,0.9613285726194375,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
AdaBoost,False,False,1.0,1.0,1.0,1.0,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Logistic Regression,True,True,0.9684698604950891,0.9701845442394843,0.9684698604950891,0.968422469805684,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Logistic Regression,True,False,0.9063099003822582,0.9210325010800281,0.9063099003822582,0.9054649164512097,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Logistic Regression,False,True,0.8872099178782632,0.8906937687592477,0.8872099178782632,0.8869494345230521,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
Logistic Regression,False,False,0.998520002599678,0.9985220443216377,0.998520002599678,0.9985200009377357,"[1, 3, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 75, 76, 77, 78]",chi2,22
KNN,True,True,0.99235996619881,0.9925540676123271,0.99235996619881,0.9923583931946852,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
KNN,True,False,0.97717999859545,0.9781427369832812,0.97717999859545,0.9771682033547539,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
KNN,False,True,0.9414400131881561,0.9475528536058997,0.9414400131881561,0.9412370513796388,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
KNN,False,False,0.999700002399916,0.9997001906141572,0.999700002399916,0.9997000023546483,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Random Forest,True,True,1.0,1.0,1.0,1.0,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Random Forest,True,False,0.999560003399878,0.9995600429381505,0.999560003399878,0.9995600033849029,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Random Forest,False,True,0.9722099710947311,0.9736803809257429,0.9722099710947311,0.9721881471043498,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
GaussianNB,True,True,0.999829998899977,0.9998300090966711,0.999829998899977,0.9998299988993109,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
GaussianNB,True,False,0.990089989698121,0.9902315681386997,0.990089989698121,0.9900890486218877,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
GaussianNB,False,True,0.9983299862998031,0.99834011736283,0.9983299862998031,0.9983299668479328,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
GaussianNB,False,False,0.9879900001975961,0.9881874905718983,0.9879900001975961,0.9879887828492894,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Mutilayer Perceptron,True,True,0.9963999789994901,0.9964371413493494,0.9963999789994901,0.996399860347925,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Mutilayer Perceptron,True,False,0.9793200136957271,0.9801134500351237,0.9793200136957271,0.9793111793792093,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Mutilayer Perceptron,False,True,0.965359865694415,0.96767302029398,0.965359865694415,0.965305727579883,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Mutilayer Perceptron,False,False,0.999770002199932,0.9997701250966943,0.999770002199932,0.9997700021748503,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
AdaBoost,True,True,0.999970000599988,0.9999700059988003,0.999970000599988,0.999970000599745,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
AdaBoost,True,False,0.9714597214970769,0.9755541069324777,0.9714597214970769,0.9712552666046678,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
AdaBoost,False,True,0.9989000048997311,0.9989030182906623,0.9989000048997311,0.9989000025355925,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
AdaBoost,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Logistic Regression,True,True,0.9743599706951652,0.9753566708399214,0.9743599706951652,0.9743447793545394,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Logistic Regression,True,False,0.973469964195052,0.9748876788896964,0.973469964195052,0.9734455151756839,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
Logistic Regression,False,True,0.8755300266748393,0.8966770391873213,0.8755300266748393,0.8737799866492222,"[0, 1, 3, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 44, 62, 67, 68, 75, 76, 77, 78]",chi2,27
